,madlad
36569,"the Commission has already taken steps in this direction , but I believe that they should be considerably"
36570,"I am convinced that the concept of development-oriented emergency assistance , as the Society for"
36571,"the real question we are facing is , of course , to put it provocatively ,"
36572,"I agree with the previous speaker , Mr Laschet , that Europe has unfortunately not played"
36573,that is the fact .
36574,"now , of course , it is primarily a matter of will , as Commissioner Patten always"
36575,are we willing to play a role at all ?
36576,"I believe – and the Morillon report , which will be adopted by a large majority ,"
36577,"the second line , B5-234 , concerns the promotion of European digital content"
36578,Commissioner Liikanen has told us that there will be about 1.2 million additional jobs
36579,"we must train people , we must ensure that this labour market of 1.2 million jobs"
36580,"this will put us in the right position in the Internet , in e-commerce , in the"
36581,"some have criticised the fact that we , as the rich part of the world , continue to"
36582,I see it a little differently .
36583,I believe that we should not make the mistake of constantly repainting the old pictures of
36584,4 % of the Community budget will not be enough to disrupt the world 's
36585,"in addition , I do not think we have anything to blame on ourselves in terms"
36586,"the European Union alone imports more agricultural products from developing countries than the USA ,"
36587,"finally , I would like to stress that , although Cyprus has legislation on combating"
36588,"nevertheless , the number of immigration cases is increasing , which suggests that it"
36589,the report should cover these tasks to a greater extent .
36590,"I would like to remind you of the imminent enlargement to the east , where"
36591,I also think that all that has been put together in a new Article 12a is
36592,"the Commission has rightly , also on the basis of the principle of subsidiarity , refr"
36593,the opportunity lies in the fact that a successful socialization process can prevent protectionism and nationalism
36594,this is especially important in border areas where several cultures collide with each other .
36595,it has just been mentioned :
36596,if protein broth and water are now being pumped into chicken breasts in order to sell
36597,"and that is why it is important that we strengthen trust , the legitimate trust ."
36598,but this has to do with the fact that the power of judgment of consumers is
36599,"so it is not only the producer who has to bear the responsibility , of course also on"
36600,"at the same time , I expect the Commission to reconsider whether the proposed reduction in"
36601,we must ensure that there is international monitoring to monitor the human rights violations by the army there
36602,I certainly support all the calls to invite President Putin and Mr Mashadov to Strasbourg
36603,"the Commission counts on the successful conclusion of this dossier , that is , the adoption of"
36604,this is the final procedural step towards the long-awaited Community-wide regulation for limit
36605,"secondly , we are proposing a simplified system for fishing effort , where we want"
36606,"thirdly , we have tightened up our proposal with regard to control ."
36607,Member States must report fishing effort to the Commission on a monthly basis and vessels must
36608,"Mr Silva , I should like to point out that implementation in the field of"
36609,"last year , in 2001 , almost all the available funds were also spent"
36610,this is really a serious change compared to previous years .
36611,"this is where the reform and , above all , the measures taken by my colleagues"
36612,"in such a situation , it is understandable that defence mechanisms are sought , even"
36613,"I do not want to defend them , and there must be punishment , but then you"
36614,"in addition , as you have written , we must also look at agricultural policy , in"
36615,"at the time , we had a situation where the 90s limit , which applied in"
36616,this created a more stable market in France and there was a very strong desire from other countries
36617,this put France and the beef price under pressure .
36618,"so here too , agricultural policy must ensure equal conditions , so that the 2"
36619,or this measure must apply in all countries .
36620,I would like to remind you once again that this inequality has created great difficulties within
36621,"therefore , whenever the Commission resorts to such penalties , it must always take the"
36622,"when deciding whether to redirect or discontinue aid , it must be borne"
36623,"if we should stop such projects , we would probably be giving more support to the extremists"
36624,we must therefore create the framework conditions so that young people see rural areas as an opportunity
36625,"start-up and investment aid is essential for young farmers , but it is just as"
36626,they must be as familiar with computers and the Internet as they are with the seed and the
36627,"this makes training and training of young farmers increasingly important , and I am also advocating"
36628,"whether it is Abu Jamal in the USA , Öcalan in Turkey , or even"
36629,I consider the death penalty to be a barbaric …
36630,a crucial issue for the confidence of participants in the reliability of electronically concluded legal
36631,"advanced signatures , because they are particularly secure , will in future be equalised"
36632,but even simple signatures must not be denied legal validity and use as evidence .
36633,the future of tourism in Europe lies in the development of sustainable tourism that takes into account and
36634,especially in the tourist country
36635,Austria places the principle of sustainable development in the tourism sector at the top of its priority
36636,I therefore welcome the Commission 's initiative to draw up and implement an Agenda 2
36637,this package of measures will hopefully represent a further step towards the realization of environmentally
36638,"now to the Cunha report , which I fully support ."
36639,"essential elements that we , as Social Democrats , have repeatedly called for ,"
36640,the preamble to Article 1 reflects our priorities as Parliament : securing farmers
36641,we agree that Saddam Hussein is a mass murderer who is carrying out a new nuclear
36642,"that is why measures against military targets must be allowed , particularly because otherwise ,"
36643,"not only six phthalates , but all phthalates in plastic toys should be banned"
36644,"finally , the Scientific Committee on Toxicity expressed certain concerns about the"
36645,"if we are taking our work even a little bit seriously , we must apply the precau"
36646,"Mr Fischler , I am curious to see whether you will accept the proposals made"
36647,you know what procedure we are in .
36648,"if you say you cannot accept them , we will react tomorrow and then we will"
36649,"finally , I would like to point out once again that we have made an offer to Turkey"
36650,"what is now at stake is the implementation of the first step of this Helsinki strategy , and"
36651,"it is now a matter of taking the first step , and it is your responsibility as Member"
36652,"but things are not that simple , of course , because the basic problem , Commissioner Verheugen"
36653,the basic problem is how we inform the people in the Member States about the accession of Eastern
36654,that is the crucial thing we have to do !
36655,but there is a deficit in all of us .
36656,this can only be done by making it clear to people time and again that the magnitude of
36657,we must make that clear !
36658,"for this , you , Mr President of the Commission , and I , Commissioner , must get out"
36659,let us really raise what we do to the historical height to which it belongs !
36660,I am very grateful to Mrs Napoletano for her report .
36661,we are on the same wavelength .
36662,"I have one concern , Mrs Groeneveld , so I would ask you to recon"
36663,"with regard to Turkey , I would like to say that Turkey would consider this to be an extreme"
36664,it would consider it a downgrade if we said that a country which we are currently preparing
36665,I must say clearly :
36666,the countries covered by this initiative are not intended for membership – at least not
36667,I know – and I know you well enough to know that – that you certainly do not
36668,so I ask you to reconsider this point !
36669,"we believe that , firstly , this war must be rejected without reservation and , second"
36670,"thirdly , the UN inspectors must return , but on the basis of the existing manda"
36671,"fourthly , we need multilateral cooperative relations , not unilateralism ."
36672,"Fifthly , we need disarmament policy once again ."
36673,you cannot want to disarm others by war and at the same time rearm yourself and then
36674,"as far as Objective 1 areas are concerned , there is no operational aid"
36675,I therefore see no possibility of paying specific income support to farmers under Objective
36676,the issues raised in this context during the discussions cover a whole range of aspects and possibilit
36677,"I would like to say that , although I cannot accept the amendments tabled im"
36678,I would therefore like to pursue the underlying concern in order to find solutions
36679,but they should be simple solutions .
36680,I do not believe that we should create new bureaucracy with this .
36681,that means that all those involved have to think about what they can do better .
36682,"I believe that the Commission should be more prompt in its response , both to Member States and in"
36683,"the report shows , as Mr Oostlander rightly says , that the door is open , but"
36684,"now there are some who emphasize the open door , others emphasize the difficult path"
36685,I personally and the majority of my group believe that both sides should be supported
36686,"the starting point was the Kemalist philosophy of state , which Mr Oostlander criticised"
36687,"I also think that Kemalism has two sides , a positive side , supporting the republic"
36688,but in the shadow of Kemalism – and this is not due to Kemalism itself –
36689,"well , the new government , as the Commissioner has already mentioned , has a slightly"
36690,"the military therefore also looks at it with a blind eye , although – and here I"
36691,I also consider the initiatives of the Turkish government to increasingly remove the military from areas not
36692,"it is still a long and difficult road , there will still be some resistance , but I believe"
36693,"ladies and gentlemen , what is important ?"
36694,"we want to create a platform for educational measures in sport beyond borders , state education"
36695,"we want to initiate cross-border initiatives and networks , and we must create"
36696,"the instrument of community projects is funded at 80 % , and things that are done at"
36697,this seems to me to be a very appropriate way of highlighting the European dimension of
36698,"thirdly , yes , we have already achieved a lot for small and medium-sized"
36699,I would like to comment very briefly on two or three comments that have been made in the
36700,Mr Hänsch said – and I agree with much of what he said – that the safety of
36701,but so that there is no misunderstanding between us :
36702,you said that these nuclear power plants must be shut down before the accessions take place .
36703,this is something completely new .
36704,the policy has been to agree with these countries on dates for the closure of nuclear power
36705,that was the prerequisite for the opening of negotiations .
36706,so it happened .
36707,I do not hope that these countries will be able to join only after the agreed closure
36708,I assume that was just a linguistic misunderstanding .
36709,"however , I find it a drop in the ocean that the Council was unable to get it"
36710,its present form as a mixed agreement means that it will not enter into force until it has
36711,"Mr President , ladies and gentlemen , I am very happy ."
36712,"it is the responsibility of this Parliament , of us , to ensure that Europe and the European"
36713,we will have to decide in a general judgment whether or not we will vote our confi
36714,"Parliament is thereby assuming responsibility for the Commission , including for individual proposals , and"
36715,"I would first of all like to say to you , Professor Prodi , that as President of"
36716,it is no surprise that our judgment on the collegial body is more differentiated
36717,"some have made brilliant use of the opportunity of the hearing , for example Chris Patten"
36718,"however , you have a candidate in your luggage who is linked to a donation"
36719,this candidate could become a burden on the Commission .
36720,"I take the liberty of making this warning because the restoration of confidence , which you"
36721,I would like to say to the Liberals who have spoken here that they are five years
36722,"of course , European employment policy has already proven itself ."
36723,"the analyses show that the Member States have taken many sensible initiatives , that they are taking"
36724,"in our committee , we do not want new jobs in the service sector with incomes below the"
36725,definition of night work
36726,"I also think it is particularly good that we , as Parliament , are calling on the national"
36727,"as a committee , we have always tried to emphasise this cooperation with the national parliament"
36728,this is the consistent implementation of the gender mainstreaming concept .
36729,I expect that the male actors will finally start to fight against the gender roles and stereo
36730,"Commissioner , I would like to raise one final point : administration ."
36731,I would just like to remind you that Parliament has said that the second tranche of
36732,"I would remind you of the resolution of last spring , where we made it clear that the"
36733,I would like to remind you of this resolution once again .
36734,"I would like to speak about this 42-point climate protection programme , and in particular"
36735,"the Committee on Industry , Research and Energy has generally welcomed this programme because we believe that action"
36736,but there can be no doubt that the responsibility for meeting the climate protection objectives
36737,the third reason is that it has also become clear in the course of implementation that the Member
36738,should the Commission not specify the criteria for designating sensitive areas ?
36739,this could perhaps be helpful for implementation and would also have the positive effect of better
36740,I would be grateful if I could get an answer to that .
36741,"Mr President , I would like to start by saying that the European Union is a European Union of"
36742,this urgent motion is about the set-aside areas being used to grow protein feed and
36743,this is an old demand of Parliament which is now finally being met .
36744,the Committee on Agriculture and Rural Development has negotiated with the Council Presidency to introduce this
36745,that is why our committee supports this urgency .
36746,this is also a way of providing financial compensation to the cattle farms affected
36747,Commissioner Schreyer will be pleased with this .
36748,I ask the House to approve this motion .
36749,whether the questions have such a suggestive power that we like the answers that have now
36750,who knows what would have come out of a different question .
36751,I would therefore advise that we do not make hasty decisions or hasty assessment
36752,"but , and I am coming to my conclusion , I would like to make it clear once again"
36753,I therefore also think that the Committee on Budgetary Control must concentrate much more on the
36754,I think that we can work well together with the Commission in this respect .
36755,"in particular , the following must be optimized :"
36756,"Commissioner , it is crucial - Mr Sterckx was kind enough to give you three years for"
36757,"the Erika would not have had to sink if it had been able to enter the port ,"
36758,"we want harbours of refuge to secure ships , but we need compensation"
36759,"Commissioner , if you can come up with a regulation more quickly , then ports will be much"
36760,"what surprised me , however , was that the Council , at its meeting on 2 December"
36761,"this means that we have not achieved what we wanted , namely the Communityisation of the"
36762,the consequence is that it is not the Commission that is steering this instrument in the Community
36763,"we do not want to and cannot accept this in this form , because it also has consequences"
36764,"in conclusion , I would like to say on behalf of my group that we can only en"
36765,"Mr President , year after year , we learn , especially from the audit reports of the European"
36766,these abuses have for some time now prompted Parliament to initiate measures to protect
36767,"it is also good that we are adopting this now , because if we had not done so"
36768,"that was not our intention , however , but we want to enforce animal welfare , of"
36769,"as Mr Sturdy has already said , it is of course important that the standards we set"
36770,"in this sense , we will have to make an effort to ensure reasonable external protection , which"
36771,"if we look at the current situation , it is also characterized by a large wave of dis"
36772,I am not criticizing that .
36773,manufacturers must be able to reorganize their distribution networks .
36774,"but in total , more than 3 000 companies are currently being laid off"
36775,"this reform will keep them in the market , and will give them the chance to stay in the"
36776,"with this in mind , the Committee on Budgetary Control , as the committee responsible , has"
36777,these measures relate essentially to four areas that are awaiting clarification or the much-
36778,why now and why in this initial situation for a short period of time to terminate a significant
36779,"this is the question that people in Austria are asking themselves , and they cannot find an answer"
36780,"unless the one , which is to end restrictions on transit traffic , even and especially in"
36781,"I believe that we would all do the future European transport policy no good if , because of relative"
36782,"I therefore believe that the position adopted by the Committee on Regional Policy , Transport and Tourism"
36783,"instead of bringing great emotional and political problems to Austria and its citizens , this position"
36784,now to the individual points :
36785,I very much welcome your announcement this morning that the information channels between OLAF and the
36786,that is necessary .
36787,"however , this also includes – and I want to make this point quite clearly – answering"
36788,it is also important - and here too another proposal needs to be improved - that there should
36789,"you have tabled a proposal following this TSE proposal , which you will have to adapt ,"
36790,in order to be able to get a real assessment of the BSE situation in the Member
36791,you have not made any proposals in this regard so far .
36792,another element is the question of route charges .
36793,"we believe that in the medium and long term , the route charges should be increased in order"
36794,"after all , only if the users - the user pays - in other words the railway companies ,"
36795,"Mr President , I would also like to raise a point of order and suggest that the Bureau"
36796,I would ask the Bureau to consider this proposal so that we can properly deal with the
36797,that would be a proposal that the President could consider .
36798,if in five years ' time we have legislation that no longer allows animal feed but only
36799,but then this must apply to all Member States .
36800,"at the moment , Germany and other countries , including Austria and others , are being punished for"
36801,"when I advocate tomorrow that we should approve all the compromise amendments ,"
36802,I would ask you to be just as fair and also to approve the compromises .
36803,the Council of Justice and Home Affairs Ministers of 20 September has already put in place
36804,we welcome this further European unification also in the context of criminal law and criminal procedure law .
36805,it will lead to an improved fight against crime on our continent and promote the European area of
36806,"in this respect , I could spare myself further lengthy remarks on the Swedish initiative ,"
36807,"another amendment allows Member States to impose stricter requirements , especially for vacuum tank"
36808,this is in the particular interest of Northern European regions .
36809,a final amendment is to allow tanks and tank vehicles put into service between 1
36810,"although I know that this is only a small step towards greater road safety , I would ask"
36811,"that is why I would ask that we do this in the future , and I expressly ac"
36812,but it is also important that we agree on a common policy and therefore on a formulation
36813,in addition to the seven amendments tabled by the Committee on Economic and Monetary Affairs
36814,it is crucial that we adopt the Commission 's programme with the amendments proposed by
36815,"in this context , a new type of food is advertised with additional and often also al"
36816,I believe it is important and responsible that the boundaries between medicines and foods
36817,the pharmaceutical and food industries will do everything in their power in this process to en
36818,"the report is based on transparency , disclosure and safety for consumers ."
36819,I therefore support the report .
36820,"however , it will continue to be essential for patients and consumers to pay attention to the fine"
36821,"therefore , research and science have a legal right to improve this position ."
36822,I would like to respond to the specific questions that have been raised .
36823,"firstly , Mr Menrad asked whether there is any plan to recast the directives on"
36824,"this is not foreseen , and the Commission does not believe it is necessary , because the"
36825,the requirements of the new directive also relate to the subjects of the two directives you
36826,"yes , but Ukraine is not a candidate country and I have no way of influencing Ukraine"
36827,"Mr President , I would just like to emphasise that the European Parliament agrees with the"
36828,"nevertheless , we are very disappointed that the nine Member States that have used"
36829,"Mr President , on behalf of my group , I would like to withdraw our support for"
36830,"it was a joint motion by the rapporteur and myself on behalf of our groups ,"
36831,"the Council has not come to our aid at all , however , and it is not my"
36832,we will vote against both amendments .
36833,I think that only by working together can we make progress in the fight against crime .
36834,"on the basis of this report , it will now be possible to create an efficient network"
36835,"Europe is not trying to take over competences , but to optimize the exchange of information between"
36836,I will now briefly turn to the amendments .
36837,"amendments Nos 1 , 3 and 4 do not pose any problem in terms"
36838,"Mr President , I would like to thank Mrs Avilés for this report , because she has given"
36839,"the term violence is also defined more precisely here , because by violence we understand any form"
36840,"violence is to be rejected in any case , but unfortunately in the family"
36841,violence against women and children must therefore be more intensively exposed in order to be
36842,"there are already several progress reports and Parliament , which plays an important part in this process ,"
36843,Parliament supports the Commission 's strategy of treating and judging each applicant country on
36844,"however , there are also issues that need to be solved across borders ."
36845,"we must take the discussion of the ecopoint system , as it is now set out in the"
36846,tomorrow 's vote is about meeting an international commitment of the European Union in a way
36847,"we are therefore all really called upon to do so , and I therefore ask all Member"
36848,"shortly after the European Council of December 1997 , the Commission adopted the"
36849,"this European strategy was designed as a specific , tailor-made pre-accession strategy with"
36850,the Commission 's proposals were politically approved at the Cardiff Summit in June
36851,"since Cardiff , several meetings have been held to implement certain aspects of this strategy , but"
36852,the Commission has funded a study which has found that the application of Sharia as criminal law
36853,"thirdly , the agreement contains a number of provisions that will allow for the sustainable management"
36854,"in order to protect local inshore fisheries , we have moved the fishing areas for"
36855,"to help the local economy and create jobs in the country itself , it has been agreed that"
36856,"I would like to thank the rapporteurs and to say once again to the rapporteur , Mr"
36857,complicated by understanding problems due to the natural language barriers .
36858,Eurojust is now intended to overcome these obstacles .
36859,"for example , Eurojust has a clearing function ."
36860,"the officers will prepare legal comparisons , settle bilateral disputes over the application and interpretation"
36861,"however , I – and I am an entrepreneur – cannot understand why this should always be achieve"
36862,"unless we are not concerned about equal access to postal services for all , but only"
36863,"however , MEPs should be representatives of all citizens , and that means that they are oblig"
36864,"I would like to point out a few things , the time is too short ."
36865,"perhaps to conclude , controls and monitoring must be improved , the amount of fine"
36866,the same should apply to the sanctions against Member States .
36867,"we are all aware of the problems , and the European public is rightly critical of the European"
36868,this report is particularly valuable in the light of enlargement .
36869,in this context – and I will say this shortly afterwards – measures for the re
36870,more attention must also be paid to strengthening the entrepreneurial potential of small and medium
36871,I believe that a number of problems are predicted if we do not look very closely at
36872,the aim of the system is to reduce the costs of complying with the Kyoto Protocol
36873,"the market economy is a strong system , it can unlock potential , we just have to set"
36874,"that is why we should also implement market-based environmental protection , and that is what this system"
36875,you have said it so beautifully : from Seattle to Doha to Cancún .
36876,I think there is a lot of right there .
36877,"we saw in Seattle that civil society , in the context of anti-globalisation campaigns ,"
36878,"this process has continued and has led to a general uncertainty , a uncertain"
36879,"in the explanatory statement to my report , I have listed in great detail the points"
36880,I would like to mention a few important points :
36881,the relationship with the e-commerce directive has been clarified .
36882,the relationship with the Brussels II Regulation and the Rome Convention has been clarified .
36883,"this could perhaps have been better in terms of text , but legally the relationship is now"
36884,the Directive applies to all consumers .
36885,"the restriction to consumers established in the Community , which Parliament criticised at first reading ,"
36886,"the list of pre-contractual information , a central point of the directive , includes"
36887,I would therefore like to expressly thank the rapporteur for having put this report on the
36888,"it is also an interference with the freedom of the press if , for example , as in"
36889,I think everyone in this House knows that the European Parliament has played an important and driving
36890,"I would also like to say that the President of the European Parliament , Pat Cox , has"
36891,I believe that the way in which President Cox has represented the European Parliament in Central and
36892,"but we hear that when the weapons used impact , chemical processes take place , which"
36893,we have heard in recent days of Pentagon investigations from January 2000 which show
36894,there are risks involved and soldiers must be informed that they must be particularly care
36895,"I therefore ask you to support Amendment No 33 by my group , but"
36896,"budgetary law , in particular , must not allow for large margins of discretion ."
36897,"I am not surprised that you , Mr Rapporteur , do not support A"
36898,the arguments you are putting forward here are the same as those you put forward in committee
36899,"Mr Modrow , this also applies to Cuba ."
36900,I welcome the fact that Cuba is approaching this process .
36901,"but for this to happen , a lot of change must take place in Cuba ."
36902,we are all familiar with the reports of Amnesty International .
36903,"it may be that you , as one of the last rulers of communism , see this"
36904,"nevertheless , this is an important criterion for the European Union ."
36905,"on the other hand , it is also fair , of course , that we offer assistance because of"
36906,"however , the two reports clearly show that sport has today become a powerful and powerful economic"
36907,"they are programmed to peak performance on certain days and weeks , with ever shorter interrupt"
36908,in order to avoid the not always calculable human weaknesses and to be able to
36909,there has also been a constant concern that goods are now entering the country which do not
36910,I can only say that we already have very clear European Union directives on what foodstuff
36911,in my opinion – and this brings me to a more personal part – it was right –
36912,"however , the position of the Committee on Agriculture is too protectionist in many parts ."
36913,"Turkey therefore has a long and difficult road ahead of it , and it will undoub"
36914,"our aim is to help Turkey on its way to becoming a free , democratic country"
36915,"the Council will have to ask itself whether it has not , by granting Turkey candidate status ,"
36916,damage is caused above all when hopes for accession have been aroused in Turkey
36917,the Islamic forces will surely turn such disappointment into political success !
36918,"Madam President , first of all I would like to say to those Members who are thanking"
36919,"we built the house , so we have to be grateful if mistakes have been made"
36920,but I am not here to praise anything .
36921,the room is very nice .
36922,I would like to point out the many errors .
36923,I very much welcome this reinstatement and would also like to stress that the Commission 's
36924,"as you know , the Commission will present an amending letter to the preliminary draft for"
36925,I think that one of the illusions that we must stripping off is the role of
36926,"the European Union has played a pathetic role in this crisis , divided , incapable"
36927,"not least for this reason , it is important that the European Union commits itself in the post"
36928,but that the Europeans have failed is obvious !
36929,when will Europeans finally learn that they will only be heard in the world if they speak with
36930,"Madam President , where is the journey going in Europe ?"
36931,"to a European federal state with a strong centre and far-reaching competences , or is"
36932,"following the text of the Committee on Constitutional Affairs , it almost seemed as if the"
36933,"even for an enthusiastic European , that would be a distorted picture ."
36934,the classical swine fever is one of the scourges of the wildlife in Europe
36935,"the viral disease in pigs , which is harmless to humans , may recur"
36936,"let us not let this gentleman get away with it , but let us ensure that we stop"
36937,I call on everyone to do so .
36938,this is our common duty for a good future of our European continent .
36939,I would also like to mention Mr Seppänen .
36940,he had the historic task of presenting the report on the last budget of the European Coal
36941,"the size of the European budget , namely the EU budgetary quota , can also be describe"
36942,the budget 's share of European gross national product for next year is lower than it was in
36943,it will be only 1.03 % of European gross national product .
36944,the EU budget is thus 4.6 billion euros below the amount envisaged in
36945,"EUR 4.6 billion , which is almost 5 % of the total budget , or"
36946,"fourthly , it seems to me that , in addition to the measures envisaged"
36947,I am also referring to what Mr Swoboda has already said about additional rules for tunnel
36948,"in many parts of Europe , agriculture is to be strengthened and guided towards sustainable"
36949,I urge that we ensure that food safety is maintained .
36950,consumer confidence and the quality of agricultural products are important principles in today ’ s
36951,I believe it is important that this mid-term review is not used as an opportunity to call
36952,"we therefore need to not only think about Article 202 , but also change it"
36953,I would have expected more courageous words from the Presidency today .
36954,"these courageous words must be pronounced in Copenhagen at the latest , clear words to make"
36955,Parliament is repeatedly called upon to ensure that it is possible to adopt legislation quickly and
36956,"this is affirmed , but then I can only make the following recommendation to the Council"
36957,take Parliament 's arguments seriously !
36958,"there will be discussions , serious disputes , and we do not want to have a black"
36959,Copenhagen is therefore a good opportunity to set a signal for Article 202 .
36960,the democratic contacts at local level were supplemented by 80 municipalities following the last
36961,Serbia 's political and economic leaders have repeatedly emphasised that they do not want
36962,"Mr President , the clear language of the Zimbabwe resolution leaves no doubt that we hold President"
36963,"unfortunately , it is resistant to proposals from its own country , but also from"
36964,that is why we call on the EU to suspend all cooperation that runs through government agenci
36965,"in addition , the message to Mugabe that he no longer has any relevant political camp in Europe as"
36966,"for the years 1997 and 1998 , the total amount involved"
36967,this financial correction was contested by the Irish authorities in the so-called
36968,the conciliation body is still working and has not yet concluded on this issue .
36969,the Commission 's position in this case is that the Irish authorities have so far not provided
36970,I said that the Council has not seriously taken up this issue so far .
36971,governments are showing a fairly lack of interest in this issue .
36972,it is therefore not a bad idea to say that the entry into force of this statute
36973,this would ensure that the Council and the Intergovernmental Conference would deal with this issue
36974,you do not become an anti-fascist here if you denounce a democratically e
36975,"on the contrary , they ridicule the true victims of National Socialism and trivia"
36976,"you act on your own prejudices , renouncing any political confrontation and acting in"
36977,"the attack on the new Austrian government , the attempt to influence a Member State politically ,"
36978,we are therefore grateful for the Commission 's special attitude .
36979,"secondly , a system of traceability of food ingredients to their origin must be established for all"
36980,this principle must be consistently maintained in the planned revision of the Community labelling
36981,this is the only way to regain the lost confidence of consumers in food production .
36982,"I think that this is an honest and also a right step , because otherwise we lose"
36983,"above all , however , we must jointly fight those who make extreme profits from human"
36984,Mrs Díez González has spoken of the Spanish Presidency 's drumming .
36985,probably this is true for all of us because of the drum whirl we make here and
36986,"however , if we look at what the European Union has done in concrete terms to combat this traffic"
36987,some Members of this House have been to Bucharest with national parliamentarians and have
36988,"it is supported by some Member States , supported by the Americans , but it does"
36989,"worse , however , is that it is only now that we are slowly starting to establi"
36990,I believe that the citizens of Europe expect a positive immigration policy to be pursued
36991,"that is why we must be very careful , but also very strict , in asking all"
36992,"we must not allow them to fall for this terrible idea of holding a referendum and then ,"
36993,that cannot be .
36994,"we , Hannes Swoboda , Joost Lagendijk and myself , will try tomo"
36995,I also believe that it is very important that an amnesty be granted – by whomever
36996,I think we have to make a fine distinction here .
36997,I would of course very much like Parliament to put in place as soon as possible all the law
36998,"I believe that if they continue along this path , as John said , we can have peaceful situation"
36999,the procedure must ensure that as many Members as possible can contribute to the group 's
37000,exceptions to this must only be made in truly urgent cases .
37001,Mrs Sbarbati is right to call for the Commission to support the proposal to limit compulso
37002,I supplement it with experiences from Germany .
37003,"the early retirement schemes , initially well-intentioned by politicians , have"
37004,"they were paid – the whole company was involved – older workers left , but younger workers"
37005,"if we talk about finances , people who retire from working life are entitled to a"
37006,"despite the diversity of national pension systems in Europe , they must be pay-related"
37007,"I voted against the resolution because paragraph 21 was adopted here , which calls on"
37008,this text is an ideal carte blanche for the practical closure of the European Parliament'
37009,let me give you a small example .
37010,it is Amendment No 34 . Halones are very dangerous .
37011,HCFCs are far less dangerous in terms of depleting the ozone layer .
37012,but it would still be insane to replace a dangerous substance with a less dangerous
37013,we just need to produce this less dangerous substance in sufficient quantities .
37014,then we have the same potential for damage .
37015,let us finally understand that this is the wrong way to go !
37016,Halones cannot be replaced by HCFCs in fire protection systems !
37017,"there are several substitutes in natural gases , nitrogen argon , inert ."
37018,"Austria has a very , very valuable library , the Austrian National Library ."
37019,we have a fire protection facility there that does not use all these dangerous substances .
37020,"we , the EPP , are against European maximum standards ."
37021,"in Germany , the framework is filled by legislative acts of the social partners ."
37022,"there are German standards , work and safety scaffolding ."
37023,"there are statutes as the legislative rights of the professional cooperatives , and then comes the"
37024,"incidentally , one can also criticise many of the practical regulations that go into"
37025,"but I tell you , one millimeter of such practical regulations is more important to the"
37026,"in 1996 , we noticed that our air quality measurements had not de"
37027,"due to these specifically high emissions from heavy commercial vehicles , it was obvious that the"
37028,"a study was therefore prepared , and this study was carried out by the Technical University"
37029,the accuracy of the results has been significantly increased and the results have also been published
37030,I would also like to agree with Mr Lipietz when he says that in Paraguay it is
37031,we have no problem with each other .
37032,"but of course , you cannot write a book in a short resolution ."
37033,I hope that we will deal with this question elsewhere and I assume that we will
37034,the most obvious sign of the fact that the fight against terrorism has little to do with combat
37035,"the galleries , which make a significant contribution to the promotion of young artists , are"
37036,the concerns of the auction houses are that the maximum contribution of EUR 12
37037,"I think it is important that we bring to the debate the concerns of auction houses ,"
37038,"this has nothing to do with national special interests , but with contributing to an open and"
37039,the third challenge is that we must combat the causes of such disasters .
37040,I am well aware that we cannot simply say that the increase in greenhouse gases caused
37041,but there are many scientists who assume that it was probably so .
37042,we just can ’ t say for sure yet .
37043,but all scientific bodies agree that such disasters will increase dramatically if we as industrialized
37044,"they will affect us all , but always and above all the poor , and that is why we"
37045,"I therefore share the rapporteur 's hope that this own-initiative report , which has"
37046,"however , there have clearly been problems in the practical application of the Steel Code in recent"
37047,"from Parliament 's point of view , it is important that we are already talking about a follow"
37048,a weakening of the existing basic guidelines of the Steel Code must not be decided
37049,no one wants an unbridled subsidy race in Europe .
37050,"this would have a significant impact on the internal market , even after the consolidation of the steel"
37051,Parliament therefore considers it necessary that the steel subsidy code be amended in
37052,"with this gradual , cautious opening , we would finally have a genuine common network in"
37053,in order to ensure that railway companies from all Member States have effective access to the subnets
37054,the practice of the past 40 years has shown that the failure to separate network and
37055,the European Union is increasingly assuming responsibility in the world .
37056,this is clearly reflected in the European budget .
37057,"I am very pleased that all those involved have succeeded in ensuring , in the"
37058,"for the measures in Iraq , an agreement has been reached to use the flexibility instrument"
37059,we will thus be able to deploy a total of EUR 200 million by
37060,"I think that now that Saddam Hussein has been arrested , there are better conditions for us"
37061,because of these natural handicaps and the overall locational disadvantages that these producers have
37062,we therefore believe that it is much more sensible - and this is also an objective we
37063,"that is why we have created this second pillar of agricultural policy , and that is"
37064,"in accordance with the principle of subsidiarity , responsibility has also been transferred to"
37065,Member States must include such measures in their programmes and give them the appropriate priorit
37066,"the European Union is also on the right track in other areas , such as the Barcelona process ."
37067,we should be proud to say that we spend three times as much money from the European Union budget
37068,we should also talk about the positive elements .
37069,"but - and here comes the big but - in the real questions of war and peace , Europe"
37070,"what we have shown in recent weeks in connection with Iraq , whether it is that we are"
37071,but only together can we exert the necessary pressure so that the dictator leaves the
37072,"I must answer your question that the Commission has not made such a proposal at the moment , but"
37073,I should perhaps point out that we have very strict requirements here and demand that all candidate countries
37074,"as you know , we are providing massive support for these programmes through the pre-"
37075,"these days , the President of Russia is visiting a country of the European Union ."
37076,I heard his statement on Chechnya on German television last night .
37077,"the Russian Ambassador to the European Union , Mr Likachev , and the Chairman of the Foreign"
